epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8918,1.11337,2.5306,1.21057,0.58733,0.58508,0.56509,0.37409,1.09924,1.60202,1.15696,0.00041351,0.00041351,0.00041351
2,30.631,1.13208,1.58257,1.21471,0.64674,0.58945,0.67318,0.45426,1.14369,1.97393,1.22458,0.000802781,0.000802781,0.000802781
3,43.0279,1.11908,1.41707,1.22013,0.66691,0.5789,0.65208,0.4661,1.00765,1.50467,1.14098,0.00116455,0.00116455,0.00116455
4,55.3046,1.11416,1.36434,1.22622,0.73233,0.74104,0.80254,0.56747,0.98739,1.11509,1.13713,0.00112625,0.00112625,0.00112625
5,67.5591,1.06699,1.28314,1.19151,0.7945,0.75612,0.80919,0.5805,1.0875,1.13567,1.18132,0.001085,0.001085,0.001085
6,79.971,1.07444,1.22687,1.2033,0.83636,0.73335,0.82313,0.60448,1.02032,1.03185,1.13046,0.00104375,0.00104375,0.00104375
7,92.247,1.02188,1.15736,1.17745,0.83602,0.71771,0.83287,0.62584,0.96031,0.9896,1.1073,0.0010025,0.0010025,0.0010025
8,104.521,0.99151,1.11037,1.16871,0.81397,0.81777,0.86508,0.6516,0.97969,0.89922,1.15773,0.00096125,0.00096125,0.00096125
9,116.642,0.98672,1.08676,1.16048,0.81205,0.79317,0.85374,0.63447,0.94156,0.95263,1.10962,0.00092,0.00092,0.00092
10,128.814,0.96401,1.0338,1.14977,0.84725,0.73611,0.84951,0.64419,0.93939,0.99063,1.08593,0.00087875,0.00087875,0.00087875
11,141.023,0.94652,1.0185,1.14775,0.90058,0.80151,0.89749,0.67778,0.93974,0.86508,1.11126,0.0008375,0.0008375,0.0008375
12,153.25,0.92708,0.96574,1.13263,0.8714,0.76799,0.87794,0.66702,0.92954,0.91515,1.10153,0.00079625,0.00079625,0.00079625
13,165.307,0.92386,0.92703,1.12597,0.87442,0.77867,0.86936,0.66313,0.97895,0.84116,1.18312,0.000755,0.000755,0.000755
14,177.446,0.89193,0.9278,1.11335,0.82049,0.79294,0.86194,0.65495,0.95127,0.88363,1.12053,0.00071375,0.00071375,0.00071375
15,189.665,0.87827,0.87926,1.10375,0.9135,0.79944,0.90222,0.696,0.90316,0.74656,1.12187,0.0006725,0.0006725,0.0006725
16,201.936,0.87859,0.85544,1.10217,0.91106,0.85071,0.90909,0.70183,0.86835,0.69537,1.06906,0.00063125,0.00063125,0.00063125
17,214.215,0.86943,0.84738,1.10136,0.89183,0.86857,0.91383,0.71857,0.82371,0.71603,1.02836,0.00059,0.00059,0.00059
18,226.428,0.86604,0.84452,1.09734,0.83061,0.82586,0.88295,0.69697,0.84628,0.77189,1.0546,0.00054875,0.00054875,0.00054875
19,238.56,0.83952,0.82108,1.091,0.90178,0.83395,0.91178,0.72341,0.85413,0.70814,1.06538,0.0005075,0.0005075,0.0005075
20,250.743,0.85103,0.81507,1.08839,0.88243,0.8207,0.90072,0.71672,0.83319,0.74492,1.04208,0.00046625,0.00046625,0.00046625
21,277.989,0.72769,0.72773,1.0029,0.9019,0.78349,0.89398,0.7059,0.81633,0.80997,1.0325,0.000425,0.000425,0.000425
22,290.314,0.69967,0.64268,0.97899,0.86906,0.86046,0.91379,0.72757,0.83921,0.68189,1.04592,0.00038375,0.00038375,0.00038375
23,304.408,0.69231,0.60515,0.96928,0.93317,0.85598,0.92702,0.72446,0.81981,0.63434,1.03456,0.0003425,0.0003425,0.0003425
24,319.082,0.70808,0.60224,0.98178,0.87779,0.86466,0.90732,0.71634,0.83103,0.68068,1.02947,0.00030125,0.00030125,0.00030125
25,331.163,0.66608,0.5739,0.95377,0.92039,0.87392,0.92914,0.73615,0.84069,0.62724,1.04476,0.00026,0.00026,0.00026
26,343.321,0.65671,0.54424,0.95149,0.91563,0.86894,0.92318,0.73748,0.83227,0.64416,1.05569,0.00021875,0.00021875,0.00021875
27,355.396,0.64761,0.52927,0.94753,0.88734,0.87381,0.92117,0.7308,0.83188,0.61336,1.06239,0.0001775,0.0001775,0.0001775
28,367.617,0.6299,0.51396,0.94507,0.92307,0.85518,0.92425,0.73711,0.81221,0.60907,1.05262,0.00013625,0.00013625,0.00013625
29,379.711,0.61469,0.49184,0.93421,0.89263,0.88772,0.92389,0.7418,0.80198,0.59696,1.04088,9.5e-05,9.5e-05,9.5e-05
30,392.321,0.61335,0.49309,0.93106,0.92566,0.8722,0.92593,0.74188,0.80055,0.59395,1.05009,5.375e-05,5.375e-05,5.375e-05
